Year	CL_P1_T1E	CL_P1_T1N	CL_P2_T1E	CL_P2_T1N	CL_P3_T1E	CL_P3_T1N	CL_P4_T1N	CL_P5_T1E	CL_P5_T1N	TB_P1_T1E	TB_P1_T1N	TB_P2_T1N	TB_P3_T1N	TB_P4_T1E	TB_P4_T1N	TB_P6_T1E	TB_P6_T1N
1987											9.45						
1988										3.54	5.92						
1989										4.97	4.10				13.86		
1990										3.38	2.07		10.86		8.58		
1991										3.30	2.77		11.99	9.02	8.26		12.31
1992										3.12	3.17		11.09	7.67	7.54		9.04
1993										4.21	3.35		10.69	7.46	7.76		9.85
1994										4.36	3.80	11.35	9.94	7.94	6.92		9.14
1995										3.55	2.72	9.17	8.48	5.10	4.78	9.22	6.92
1996										2.99	2.35	6.01	6.24	4.84	5.05	4.78	5.12
1997		5.30								4.12	3.23	5.10	6.24	4.43	5.36	6.21	5.34
1998		6.01	7.73							4.01	3.32	5.59	6.13	3.80	3.60	5.98	5.74
1999		6.27	7.25							4.30	2.77	4.69	4.65	2.95	3.04	6.37	4.80
2000		7.81	6.51				3.66			2.72	2.74	0.77	0.61	1.85	1.91	4.43	2.84
2001	11.98	10.91	8.33				5.22			4.82	6.24	4.07	2.62	3.11	3.38	7.22	4.20
2002	8.06	9.91	5.88	4.66	8.89	8.70	4.69	6.04	5.72	3.68	4.05	3.24	3.21	2.58	2.42	5.12	3.71
2003	9.88	10.60	7.58	6.96	10.84	12.78	1.79	7.28	6.01	5.36	4.99	3.09	4.38	2.83	3.03	4.99	3.54
2004	5.36	9.49	5.36	5.25	6.80	8.77	2.18	5.23	5.08	4.29	3.96	1.59	4.15	2.44	2.41	4.44	2.93
2005	5.43	11.32	5.18	4.51	8.69	9.50	3.90	4.87	5.25	6.83	5.50	2.11	4.12	3.75	3.34	4.22	4.92
2006	4.47	6.61	4.28	4.08	6.55	6.50	3.26	4.81	4.41	4.03	3.66	1.71	3.28	3.13	2.72	3.32	3.88
2007	3.43	4.82	3.66	3.77	4.69	5.63	3.22	4.99	5.34	3.88	4.67	1.74	3.52	2.20	2.07	2.85	3.20
2008	2.33	3.05	5.17	5.41	3.69	4.84	4.06	4.74	6.35	6.48	5.59	2.35	3.82	3.38	3.56	3.51	3.22
2009	4.42	4.88	5.74	5.67	4.87	6.52	4.01	7.06	7.48	5.32	6.66	2.69	4.31	3.72	2.83	3.82	3.81
2010	3.04	2.83	3.92	3.35	3.43	4.73	2.60	4.88	5.36	2.46	3.38	1.83	2.75	2.32	1.85	1.95	1.96
2011	5.00	4.32	4.78	5.04	5.44	6.59	3.53	5.20	6.35	4.48	4.47	1.68	3.22	3.38	3.05	4.10	3.10
2012	3.48	4.18	4.73	3.56	2.42	3.01	2.88	5.90	6.67	4.93	5.07	1.56	2.71	2.62	2.19	5.23	2.71
2013	3.92	3.21	5.19	3.42	2.99	2.85	3.64	5.85	7.31	4.23	3.86	1.64	3.77	2.81	2.35	5.09	3.11
2014	2.34	3.04	3.75	3.36	2.06	2.64	1.33	4.47	5.44	3.63	3.58	2.05	3.25	2.20	2.03	2.15	1.50
2015	2.59	3.21	2.98	3.05	1.41	2.21	2.36	4.41	5.16	2.84	2.84	1.52	3.14	1.91	1.94	1.52	1.29
2016	3.11	3.60	3.56	2.77	2.23	2.63	3.14	4.14	4.79	3.72	2.77	1.76	3.41	2.06	2.37	1.60	1.24
2017	3.98	4.23	2.89	2.49	1.82	2.91	2.99	4.47	5.91	3.25	2.16	2.01	2.59	2.37	2.20	1.21	1.40
2018	3.08	3.17	2.36	1.85	1.64	2.14	2.63	4.46	4.41	3.26	2.98	2.32	2.55	2.05	1.94	0.80	1.19
2019	4.02	3.80	2.70	2.92	2.17	2.32	3.45	4.43	4.43	3.36	3.33	2.68	3.25	2.50	2.30	0.77	0.89
2020	3.90	4.19	4.90	4.10	2.79	2.42	3.89	5.13	5.01	3.86	3.31	2.88	3.05	2.87	2.52	0.51	1.04
2021	3.39	4.15		3.84	2.36	2.32	4.81	5.02	4.24	3.14	3.39	3.38	2.83	2.63	2.15	0.67	0.66
2022	3.16	3.06		2.22	1.49	1.40	2.91	4.55	2.74		2.58	1.98	2.86	1.76	2.16	0.52	0.64
